version,release_date,timestamp,complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,blocker_violations,critical_violations,major_violations,minor_violations,false_positive_issues,code_smells,sqale_index,sqale_rating,sqale_debt_ratio,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,ncloc,statements
2.0.0,2016-09-14,1473896950,22611,103,799,118,8770,6.0,11497,12,7176,1398,1764,0,11210,72294,1.0,2.3,287,5.0,1848,0,1.0,0,237,5.0,104443,49355
2.0.1,2016-09-23,1474655316,22610,103,799,118,8781,6.0,11328,12,7044,1388,1748,0,11042,71407,1.0,2.3,286,5.0,1830,0,1.0,0,237,5.0,104636,49418
2.0.2,2016-10-05,1475709904,22916,103,780,117,9042,6.1,10058,12,6777,1369,997,0,9768,69360,1.0,2.2,290,5.0,1829,0,1.0,0,239,5.0,105669,50026
2.1.0,2016-10-12,1476303571,23039,103,786,117,9057,6.1,9828,12,6618,1365,1005,0,9538,68776,1.0,2.2,290,5.0,1829,0,1.0,0,240,5.0,106226,50256
2.1.1,2016-10-20,1477002962,23045,103,786,117,9006,6.0,9626,12,6466,1325,1036,0,9336,67557,1.0,2.1,290,5.0,1811,0,1.0,0,240,5.0,106297,50294
2.1.2,2016-10-27,1477592893,23133,103,782,113,8944,6.0,9597,12,6417,1319,1065,0,9305,67349,1.0,2.1,292,5.0,1831,0,1.0,0,240,5.0,106876,50452
2.2.0,2016-11-14,1479151563,24203,102,885,119,11024,6.9,5590,11,2624,1139,1141,0,5336,51706,1.0,1.5,254,5.0,1468,0,1.0,0,246,5.0,113656,53031
2.2.1,2016-11-16,1479343108,24318,103,890,119,11081,6.9,5625,11,2632,1141,1172,0,5372,52048,1.0,1.5,253,5.0,1463,0,1.0,0,248,5.0,114361,53371
2.2.2,2016-11-22,1479854209,24373,103,898,119,11037,6.8,5640,11,2639,1143,1179,0,5387,52214,1.0,1.5,253,5.0,1461,0,1.0,0,257,5.0,114622,53486
2.2.3,2016-11-23,1479934837,24382,103,900,119,11129,6.9,5643,11,2650,1142,1171,0,5390,52408,1.0,1.5,253,5.0,1463,0,1.0,0,248,5.0,114576,53484
