version,release_date,timestamp,complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,blocker_violations,critical_violations,major_violations,minor_violations,false_positive_issues,code_smells,sqale_index,sqale_rating,sqale_debt_ratio,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,ncloc,statements
v0.3.0,2013-05-29,1369856771,28384,373,1927,140,31571,14.1,9883,13,1865,5109,2524,0,9469,66732,1.0,1.2,411,5.0,2862,3,4.0,30,105,5.0,181976,69250
v0.3.3,2013-06-20,1371766458,5155,56,23,12,487,1.5,3886,6,3024,524,285,0,3837,21361,1.0,3.1,49,5.0,198,0,1.0,0,54,5.0,23233,11811
v0.4.0,2013-07-17,1374086011,4856,52,17,10,361,1.1,3689,7,2853,518,270,0,3637,20251,1.0,3.0,52,5.0,207,0,1.0,0,51,5.0,22412,11085
v0.4.1,2013-07-26,1374878032,5462,62,31,15,636,1.6,4337,7,3409,538,334,0,4284,23479,1.0,3.0,53,5.0,212,0,1.0,0,53,5.0,26006,12916
v0.4.2,2013-12-17,1387346417,5452,54,31,15,636,1.6,4312,6,3392,529,337,0,4262,23377,1.0,3.0,50,5.0,195,0,1.0,0,54,5.0,26029,12899
v0.5.0,2013-10-16,1381949077,5457,54,31,15,636,1.6,4316,6,3392,533,337,0,4263,23397,1.0,3.0,53,5.0,207,0,1.0,0,54,5.0,26089,12907
v0.5.1,2013-10-29,1383072406,5876,53,39,18,803,1.8,4855,4,3865,518,424,0,4806,26098,1.0,3.0,49,5.0,197,0,1.0,0,54,5.0,28692,14318
v0.5.2,2013-12-18,1387407177,5885,53,39,18,803,1.8,4863,4,3873,512,430,0,4814,26138,1.0,3.0,49,5.0,197,0,1.0,0,54,5.0,28763,14348
v0.8.0,2013-12-19,1387478463,5886,53,39,18,803,1.8,4864,4,3874,512,430,0,4815,26143,1.0,3.0,49,5.0,197,0,1.0,0,54,5.0,28805,14349
v0.10.0,2014-03-21,1395434042,5914,54,39,18,803,1.8,4878,4,3880,510,439,0,4829,26210,1.0,3.0,49,5.0,197,0,1.0,0,54,5.0,28932,14388
