version,release_date,timestamp,complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,blocker_violations,critical_violations,major_violations,minor_violations,false_positive_issues,code_smells,sqale_index,sqale_rating,sqale_debt_ratio,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,ncloc,statements
v3.0.0-alpha.0,2019-12-20,1576867428,5944,98,229,42,5258,11.2,511,0,123,200,182,0,482,4010,1.0,0.3,29,4.0,275,0,1.0,0,16,5.0,40425,15128
v3.0.0,2020-09-18,1600442885,5944,98,229,42,5258,11.2,511,0,123,200,182,0,482,4010,1.0,0.3,29,4.0,275,0,1.0,0,16,5.0,40425,15128
v3.0.0-alpha.1,2020-01-02,1578007517,10220,117,442,63,9181,11.6,945,0,251,374,308,0,896,8378,1.0,0.4,49,4.0,405,0,1.0,0,25,5.0,67330,25472
v3.0.0-alpha.10,2020-03-24,1585089220,5967,100,229,42,5258,11.2,510,0,123,199,182,0,481,4005,1.0,0.3,29,4.0,275,0,1.0,0,16,5.0,40591,15177
v3.0.0-alpha.11,2020-04-03,1585964750,7573,116,247,45,5556,9.6,659,0,153,261,240,0,626,5341,1.0,0.4,33,4.0,305,0,1.0,0,21,5.0,49921,18392
v3.0.0-alpha.12,2020-04-08,1586386789,7812,116,266,47,5778,9.6,677,0,158,267,248,0,644,5511,1.0,0.4,33,4.0,305,0,1.0,0,21,5.0,51634,19080
v3.0.0-alpha.13,2020-04-15,1586969186,7927,116,268,48,5831,9.6,689,0,160,273,252,0,656,5568,1.0,0.4,33,4.0,305,0,1.0,0,21,5.0,52109,19444
v3.0.0-alpha.2,2020-01-13,1578955470,7930,116,270,49,5873,9.7,681,0,152,271,254,0,648,5388,1.0,0.3,33,4.0,305,0,1.0,0,21,5.0,52099,19411
v3.0.0-alpha.3,2020-01-22,1579709430,5988,100,228,42,5234,11.1,515,0,123,202,183,0,486,4054,1.0,0.3,29,4.0,275,0,1.0,0,16,5.0,40765,15258
v3.0.0-alpha.4,2020-01-27,1580160000,6053,100,228,42,5234,11.0,525,0,130,205,183,0,496,4198,1.0,0.3,29,4.0,275,0,1.0,0,16,5.0,41095,15407
v3.0.0-alpha.5,2020-02-18,1582056055,6111,101,226,42,5159,10.8,533,0,130,207,187,0,504,4224,1.0,0.3,29,4.0,275,0,1.0,0,16,5.0,41292,15513
v3.0.0-alpha.6,2020-02-22,1582356332,6990,109,241,47,5443,10.0,617,0,146,243,214,0,584,4921,1.0,0.3,33,4.0,305,0,1.0,0,22,5.0,46882,17125
v3.0.0-alpha.7,2020-02-26,1582745798,7028,109,239,45,5410,9.9,619,0,146,241,217,0,586,4923,1.0,0.3,33,4.0,305,0,1.0,0,22,5.0,47076,17220
v3.0.0-alpha.8,2020-03-06,1583528320,7040,109,239,45,5408,9.9,619,0,146,242,217,0,586,4930,1.0,0.3,33,4.0,305,0,1.0,0,22,5.0,47164,17250
v3.0.0-alpha.9,2020-03-16,1584399404,7136,111,237,44,5346,9.7,623,0,147,249,218,0,590,5010,1.0,0.4,33,4.0,305,0,1.0,0,21,5.0,47700,17524
v3.0.0-beta.1,2020-04-16,1587066304,7354,114,237,44,5348,9.4,633,0,151,250,227,0,600,5164,1.0,0.4,33,4.0,305,0,1.0,0,21,5.0,48948,17915
v3.0.0-beta.10,2020-05-07,1588864878,7939,116,270,49,5873,9.7,682,0,152,272,254,0,649,5376,1.0,0.3,33,4.0,305,0,1.0,0,21,5.0,52144,19430
v3.0.0-beta.11,2020-05-11,1589221536,8213,117,273,50,5908,9.4,716,0,159,288,264,0,682,5634,1.0,0.3,34,4.0,315,0,1.0,0,19,5.0,53730,19998
v3.0.0-beta.12,2020-05-11,1589226757,8238,117,273,50,5908,9.4,717,0,158,288,266,0,683,5630,1.0,0.3,34,4.0,315,0,1.0,0,19,5.0,53844,20056
v3.0.0-beta.13,2020-05-16,1589680427,8239,117,273,50,5908,9.4,717,0,158,288,266,0,683,5630,1.0,0.3,34,4.0,315,0,1.0,0,19,5.0,53849,20056
v3.0.0-beta.14,2020-05-18,1589827331,8279,116,273,50,5910,9.3,720,0,159,288,268,0,686,5650,1.0,0.3,34,4.0,315,0,1.0,0,19,5.0,54067,20195
v3.0.0-beta.15,2020-06-12,1591999745,8322,116,273,50,5910,9.3,731,0,159,298,269,0,696,5743,1.0,0.4,35,4.0,325,0,1.0,0,19,5.0,54249,20299
v3.0.0-beta.16,2020-06-29,1593470090,8455,118,284,50,6055,9.3,742,0,166,311,260,0,702,5882,1.0,0.4,40,4.0,350,0,1.0,0,21,5.0,55626,20765
v3.0.0-beta.17,2020-06-30,1593533323,8826,118,373,54,7722,11.2,808,0,210,320,272,0,770,6854,1.0,0.4,38,4.0,330,0,1.0,0,22,5.0,58995,21950
v3.0.0-beta.18,2020-07-01,1593651985,8826,118,373,54,7722,11.2,810,0,210,320,274,0,772,6859,1.0,0.4,38,4.0,330,0,1.0,0,22,5.0,59000,21943
v3.0.0-beta.19,2020-07-07,1594130671,8836,118,373,54,7722,11.2,814,0,211,322,275,0,776,6876,1.0,0.4,38,4.0,330,0,1.0,0,22,5.0,59036,21972
v3.0.0-beta.2,2020-04-17,1587135661,8867,118,373,54,7722,11.2,820,0,211,324,279,0,781,6900,1.0,0.4,39,4.0,332,0,1.0,0,22,5.0,59223,22048
v3.0.0-beta.20,2020-07-08,1594226730,7946,116,270,49,5873,9.7,683,0,152,273,254,0,650,5383,1.0,0.3,33,4.0,305,0,1.0,0,21,5.0,52207,19454
v3.0.0-beta.21,2020-07-14,1594761487,8884,118,373,54,7730,11.1,820,0,210,325,279,0,781,6907,1.0,0.4,39,4.0,332,0,1.0,0,22,5.0,59290,22079
v3.0.0-beta.22,2020-07-15,1594831421,9290,119,376,59,8174,11.4,860,0,218,336,296,0,820,7421,1.0,0.4,40,4.0,342,0,1.0,0,23,5.0,61538,22812
v3.0.0-beta.23,2020-07-16,1594918136,9344,119,376,59,8174,11.3,864,0,218,339,297,0,824,7447,1.0,0.4,40,4.0,342,0,1.0,0,23,5.0,61954,23051
v3.0.0-beta.24,2020-07-16,1594921912,9385,119,376,59,8174,11.3,871,0,218,341,302,0,831,7493,1.0,0.4,40,4.0,342,0,1.0,0,23,5.0,62103,23109
v3.0.0-beta.3,2020-04-20,1587416426,9385,119,376,59,8174,11.3,871,0,218,341,302,0,831,7493,1.0,0.4,40,4.0,342,0,1.0,0,23,5.0,62097,23108
v3.0.0-beta.4,2020-04-24,1587759620,7979,114,276,49,5941,9.8,686,0,152,276,254,0,653,5451,1.0,0.3,33,4.0,305,0,1.0,0,21,5.0,52356,19536
v3.0.0-beta.5,2020-04-30,1588278025,8019,114,273,50,5908,9.7,689,0,153,277,255,0,656,5456,1.0,0.3,33,4.0,305,0,1.0,0,21,5.0,52645,19627
v3.0.0-beta.6,2020-05-01,1588373813,8050,117,273,50,5908,9.6,695,0,154,279,258,0,662,5491,1.0,0.3,33,4.0,305,0,1.0,0,19,5.0,52792,19686
v3.0.0-beta.7,2020-05-02,1588453576,8097,117,273,50,5908,9.5,707,0,155,285,262,0,673,5535,1.0,0.3,34,4.0,315,0,1.0,0,19,5.0,53033,19779
v3.0.0-beta.8,2020-05-04,1588603763,8123,117,273,50,5908,9.5,710,0,156,287,262,0,676,5554,1.0,0.3,34,4.0,315,0,1.0,0,19,5.0,53142,19806
v3.0.0-beta.9,2020-05-04,1588626882,8146,117,273,50,5908,9.5,712,0,156,288,263,0,678,5566,1.0,0.3,34,4.0,315,0,1.0,0,19,5.0,53318,19872
v3.0.0-rc.1,2020-07-17,1595014217,8176,117,273,50,5908,9.5,714,0,157,288,264,0,680,5580,1.0,0.3,34,4.0,315,0,1.0,0,19,5.0,53478,19922
v3.0.0-rc.10,2020-09-02,1599064914,9408,117,376,59,8186,11.2,856,0,218,342,285,0,816,7409,1.0,0.4,40,4.0,342,0,1.0,0,23,5.0,62262,23183
v3.0.0-rc.11,2020-09-15,1600190142,9949,117,413,60,8614,11.2,892,0,233,359,292,0,847,7859,1.0,0.4,45,4.0,375,0,1.0,0,25,5.0,65510,24657
v3.0.0-rc.12,2020-09-16,1600278613,10162,117,437,62,9091,11.6,937,0,249,372,304,0,891,8312,1.0,0.4,46,4.0,380,0,1.0,0,25,5.0,66953,25323
v3.0.0-rc.13,2020-09-18,1600407570,10193,117,440,62,9127,11.6,940,0,251,372,305,0,893,8325,1.0,0.4,47,4.0,385,0,1.0,0,25,5.0,67190,25396
v3.0.0-rc.2,2020-07-19,1595184762,10220,117,442,63,9181,11.6,945,0,251,374,308,0,896,8378,1.0,0.4,49,4.0,405,0,1.0,0,25,5.0,67330,25472
v3.0.0-rc.3,2020-07-21,1595359646,9411,117,380,59,8313,11.4,855,0,218,341,285,0,815,7412,1.0,0.4,40,4.0,342,0,1.0,0,23,5.0,62401,23228
v3.0.0-rc.4,2020-07-21,1595360446,9443,115,382,59,8373,11.4,859,0,219,344,285,0,819,7459,1.0,0.4,40,4.0,342,0,1.0,0,23,5.0,62521,23294
v3.0.0-rc.5,2020-07-28,1595972525,9443,115,382,59,8373,11.4,859,0,219,344,285,0,819,7459,1.0,0.4,40,4.0,342,0,1.0,0,23,5.0,62521,23294
v3.0.0-rc.6,2020-08-19,1597875462,9501,115,406,59,8449,11.5,863,0,220,341,291,0,823,7515,1.0,0.4,40,4.0,342,0,1.0,0,24,5.0,62855,23415
v3.0.0-rc.7,2020-08-21,1598033585,9687,117,408,59,8455,11.3,873,0,224,348,290,0,829,7584,1.0,0.4,44,4.0,365,0,1.0,0,25,5.0,63848,23986
v3.0.0-rc.8,2020-08-25,1598365912,9743,117,408,59,8455,11.2,878,0,224,349,294,0,833,7596,1.0,0.4,45,4.0,375,0,1.0,0,25,5.0,64270,24155
v3.0.0-rc.9,2020-08-26,1598480478,9775,117,406,59,8409,11.1,885,0,224,354,296,0,840,7651,1.0,0.4,45,4.0,375,0,1.0,0,25,5.0,64430,24226
v3.0.1,2020-10-15,1602779841,9841,117,408,60,8469,11.1,886,0,227,354,295,0,841,7707,1.0,0.4,45,4.0,375,0,1.0,0,25,5.0,64828,24408
v3.0.2,2020-10-20,1603225452,10399,121,447,63,9291,11.6,955,0,253,379,310,0,906,8458,1.0,0.4,49,4.0,405,0,1.0,0,25,5.0,68378,25921
v3.0.3,2020-11-25,1606320981,10449,123,445,63,9268,11.5,957,0,253,380,311,0,908,8469,1.0,0.4,49,4.0,405,0,1.0,0,25,5.0,68643,26031
v3.0.4,2020-12-02,1606947823,10786,125,456,65,9528,11.5,1010,0,265,397,332,0,953,8776,1.0,0.4,57,4.0,475,0,1.0,0,26,5.0,70339,26672
v3.0.5,2020-12-30,1609361428,10912,124,452,65,9449,11.3,1026,0,268,404,338,0,967,8908,1.0,0.4,59,4.0,495,0,1.0,0,28,5.0,71106,26974
v3.0.10,2021-03-30,1617149145,10873,124,448,65,9240,11.1,1044,0,287,402,339,0,985,9270,1.0,0.4,59,4.0,495,0,1.0,0,28,5.0,70828,26931
v3.0.11,2021-04-01,1617321165,11469,134,456,68,9731,11.0,1130,0,301,437,376,0,1062,9830,1.0,0.4,67,4.0,538,1,4.0,10,31,5.0,75310,28416
v3.0.6,2021-02-24,1614197971,11521,134,456,68,9731,10.9,1134,0,302,439,374,0,1067,9864,1.0,0.4,66,4.0,533,1,4.0,10,32,5.0,75638,28526
v3.0.7,2021-03-01,1614614369,10917,126,448,65,9238,11.1,1043,0,286,402,339,0,984,9245,1.0,0.4,59,4.0,495,0,1.0,0,28,5.0,71075,27042
v3.0.8,2021-03-26,1616794544,10950,124,448,65,9240,11.0,1048,0,288,404,340,0,988,9283,1.0,0.4,60,4.0,500,0,1.0,0,29,5.0,71290,27147
v3.0.9,2021-03-27,1616859012,11172,122,452,67,9604,11.2,1074,0,300,413,345,0,1012,9614,1.0,0.4,62,4.0,520,0,1.0,0,30,5.0,72839,27795
v3.1.0,2021-06-07,1623083922,11206,124,452,67,9592,11.2,1075,0,301,413,345,0,1013,9630,1.0,0.4,62,4.0,520,0,1.0,0,30,5.0,72998,27863
v3.1.0-beta.1,2021-05-08,1620505474,12957,149,464,71,9926,10.2,1293,1,336,468,464,0,1219,11724,1.0,0.5,73,4.0,583,1,4.0,10,35,5.0,82897,31296
v3.1.0-beta.2,2021-05-08,1620507552,12773,148,462,70,9922,10.3,1284,1,329,471,461,0,1211,11574,1.0,0.5,72,4.0,573,1,4.0,10,35,5.0,81748,30818
v3.1.0-beta.3,2021-05-12,1620855424,12779,148,462,70,9922,10.3,1284,1,329,471,461,0,1211,11574,1.0,0.5,72,4.0,573,1,4.0,10,35,5.0,81787,30827
v3.1.0-beta.4,2021-05-24,1621898204,12776,148,462,70,9922,10.3,1285,1,329,471,462,0,1212,11565,1.0,0.5,72,4.0,573,1,4.0,10,35,5.0,81843,30849
v3.1.0-beta.5,2021-05-26,1622059611,12823,148,459,70,9909,10.3,1289,1,330,472,464,0,1215,11604,1.0,0.5,73,4.0,583,1,4.0,10,35,5.0,82074,30930
