version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
2.0.0,2016-09-14,1473896950,0,0,87,759,0,5,5,50,0,0,3,15
2.0.1,2016-09-23,1474655316,0,0,87,759,0,5,5,50,0,0,3,15
2.0.2,2016-10-05,1475709904,0,0,87,709,0,5,5,50,0,0,3,15
2.1.0,2016-10-12,1476303571,0,0,82,524,0,5,10,135,0,0,3,15
2.1.1,2016-10-20,1477002962,0,0,80,494,0,5,11,155,0,0,3,15
2.1.2,2016-10-27,1477592893,0,0,73,399,0,5,17,185,0,0,3,15
2.2.0,2016-11-14,1479151563,0,0,71,373,0,5,18,190,0,0,3,15
2.2.1,2016-11-16,1479343108,0,0,46,280,0,16,37,655,0,0,0,0
2.2.2,2016-11-22,1479854209,0,0,47,255,0,16,36,650,0,0,0,0
2.2.3,2016-11-23,1479934837,0,0,47,255,0,16,36,650,0,0,0,0
2.2.4,2016-11-30,1480547918,0,0,47,255,0,16,36,650,0,0,0,0
2.3.0,2016-12-07,1481147662,0,0,47,255,0,16,36,650,0,0,0,0
2.3.1,2016-12-14,1481768523,0,0,48,300,0,16,35,660,0,0,0,0
2.4.0,2016-12-19,1482198137,0,0,48,307,0,13,38,675,0,0,0,0
2.4.1,2016-12-21,1482359173,0,0,49,312,0,5,45,670,0,0,0,0
2.4.10,2017-03-16,1489717618,0,0,49,312,0,5,45,670,0,0,0,0
2.4.2,2017-01-06,1483735235,0,0,46,317,0,5,47,680,0,0,1,5
2.4.3,2017-01-11,1484170703,0,0,47,332,0,5,46,675,0,0,1,5
2.4.4,2017-01-18,1484786154,0,0,47,332,0,5,46,675,0,0,1,5
2.4.5,2017-01-25,1485380909,0,0,47,332,0,5,46,675,0,0,1,5
2.4.6,2017-02-02,1486094657,0,0,47,332,0,5,46,675,0,0,1,5
2.4.7,2017-02-08,1486614491,0,0,47,332,0,5,46,675,0,0,1,5
2.4.8,2017-02-18,1487454923,0,0,47,332,0,5,46,675,0,0,1,5
2.4.9,2017-03-01,1488438686,0,0,47,332,0,5,46,675,0,0,1,5
4.0.0,2017-03-23,1490312934,0,0,47,332,0,5,46,675,0,0,1,5
4.0.1,2017-03-29,1490830060,0,0,98,1460,0,0,1,5,0,0,0,0
4.0.2,2017-04-11,1491947773,0,0,97,1435,0,0,2,10,0,0,0,0
4.0.3,2017-04-20,1492749701,0,0,96,1420,0,0,3,15,0,0,0,0
4.1.0,2017-04-26,1493221962,0,0,94,1390,0,0,5,25,0,0,0,0
4.1.1,2017-05-04,1493932963,0,1,86,591,0,0,9,45,0,0,0,0
4.1.2,2017-05-10,1494456268,0,1,85,536,0,0,10,50,0,0,0,0
4.1.3,2017-05-17,1495061065,0,1,83,482,0,0,10,65,0,0,1,5
4.2.0,2017-06-08,1496960017,0,1,83,472,0,0,10,65,0,0,1,5
4.2.1,2017-06-09,1497049889,0,1,86,711,0,0,7,50,0,0,1,5
4.2.2,2017-06-12,1497306979,0,1,85,706,0,0,7,50,0,0,1,5
4.2.3,2017-06-16,1497631311,0,1,85,706,0,0,7,50,0,0,1,5
4.2.4,2017-06-21,1498089674,0,1,85,706,0,0,7,50,0,0,1,5
4.2.5,2017-06-29,1498781820,0,1,85,716,0,0,7,50,0,0,1,5
4.2.6,2017-07-07,1499489329,0,1,84,733,0,0,8,70,0,0,1,5
4.3.0,2017-07-14,1500063157,0,0,98,1126,0,0,1,20,0,0,0,0
4.3.1,2017-07-19,1500494085,0,0,94,1076,0,0,4,35,0,0,0,0
4.3.2,2017-07-27,1501188706,0,0,94,1096,0,0,4,35,0,0,0,0
4.3.3,2017-08-02,1501704035,0,0,94,1106,0,0,4,35,0,0,0,0
4.3.4,2017-08-10,1502383201,0,0,94,1106,0,0,4,35,0,0,0,0
4.3.5,2017-08-16,1502905883,0,0,94,1106,0,0,4,35,0,0,0,0
4.3.6,2017-08-23,1503518502,0,0,94,1106,0,0,4,35,0,0,0,0
4.4.0,2017-09-15,1505512712,0,0,92,1120,0,0,4,35,0,0,1,5
4.4.1,2017-09-15,1505514925,0,0,92,1114,0,0,4,35,0,0,1,5
4.4.2,2017-09-18,1505794443,0,0,92,1114,0,0,4,35,0,0,1,5
4.4.3,2017-09-19,1505859725,0,0,92,1114,0,0,4,35,0,0,1,5
4.4.4,2017-09-28,1506626294,0,0,92,1114,0,0,4,35,0,0,1,5
4.4.5,2017-10-12,1507829181,0,0,89,1107,0,0,8,100,0,0,1,5
4.4.6,2017-10-18,1508368493,0,0,86,1130,0,0,10,125,0,0,1,5
5.0.0,2017-11-01,1509558628,0,0,83,1065,0,0,10,125,0,0,1,5
5.0.1,2017-11-08,1510165786,0,0,97,1067,0,1,2,15,0,0,0,0
5.0.2,2017-11-16,1510860242,0,0,97,1067,0,1,2,15,0,0,0,0
5.0.3,2017-11-22,1511384952,0,0,97,1039,0,1,2,15,0,0,0,0
5.0.4,2017-11-30,1512105238,0,0,97,1029,0,1,2,15,0,0,0,0
