version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v0.3.0,2013-05-29,1369856771,0,0,2,10,0,0,10,155,0,0,88,1764
v0.3.3,2013-06-20,1371766458,0,0,2,10,0,0,11,170,0,0,87,1744
v0.4.0,2013-07-17,1374086011,0,0,2,10,0,0,11,170,0,0,87,1744
v0.4.1,2013-07-26,1374878032,0,0,2,10,0,0,11,170,0,0,86,1710
v0.4.2,2013-12-17,1387346417,0,0,2,10,0,0,11,170,0,0,86,1710
v0.5.0,2013-10-16,1381949077,0,0,2,10,0,0,11,170,0,0,86,1710
v0.5.1,2013-10-29,1383072406,0,0,2,10,0,0,11,170,0,0,86,1676
v0.5.2,2013-12-18,1387407177,0,0,2,10,0,0,11,170,0,0,86,1676
v0.8.0,2013-12-19,1387478463,0,0,2,10,0,0,11,170,0,0,86,1676
v0.10.0,2014-03-21,1395434042,0,0,2,10,0,0,11,170,0,0,86,1676
v0.10.0-rc1,2014-03-18,1395205772,0,0,2,10,0,0,11,170,0,0,86,1661
v0.11.0,2014-07-17,1405630026,0,0,2,10,0,0,11,170,0,0,86,1661
v0.11.0-rc1,2014-07-12,1405219845,0,0,2,10,0,0,11,170,0,0,85,1630
v0.11.1,2014-07-25,1406312952,0,0,2,10,0,0,11,170,0,0,85,1630
v0.11.2,2014-09-16,1410890976,0,0,2,10,0,0,11,170,0,0,85,1630
v0.12.0,2014-10-28,1414520621,0,0,2,10,0,0,11,170,0,0,85,1630
v0.12.0-rc1,2014-10-16,1413496610,0,0,2,10,0,0,11,170,0,0,85,1625
v0.12.1,2014-11-18,1416299426,0,0,2,10,0,0,11,170,0,0,85,1625
v0.12.2,2014-12-18,1418935502,0,0,2,10,0,0,11,170,0,0,85,1625
v0.9.0,2014-02-19,1392879030,0,0,2,10,0,0,11,170,0,0,85,1625
v0.9.0-rc1,2014-02-16,1392601132,0,0,2,10,0,0,11,170,0,0,85,1621
v0.13.0,2015-03-10,1426023929,0,0,2,10,0,0,11,170,0,0,85,1621
v0.13.0-rc1,2015-02-22,1424640373,0,0,2,10,0,0,10,155,0,0,86,1632
v0.13.0-rc2,2015-03-03,1425411961,0,0,2,10,0,0,10,155,0,0,86,1633
v0.13.1,2015-03-16,1426549830,0,0,2,10,0,0,10,155,0,0,86,1633
v0.13.2,2015-04-18,1429396128,0,0,2,10,0,0,10,155,0,0,86,1632
v0.13.3,2015-05-08,1431118429,0,0,2,10,0,0,10,155,0,0,86,1634
v0.14.0,2015-10-07,1444238396,0,0,2,10,0,0,10,155,0,0,86,1634
v0.14.0-beta1,2015-07-03,1435913195,0,0,2,10,0,0,10,155,0,0,86,1637
v0.14.0-beta2,2015-07-30,1438316949,0,0,2,10,0,0,10,155,0,0,86,1660
v0.14.0-beta3,2015-08-03,1438637064,0,0,2,10,0,0,10,155,0,0,86,1663
v0.14.0-rc1,2015-09-10,1441900060,0,0,2,10,0,0,10,155,0,0,86,1663
v0.14.1,2015-10-28,1446067265,0,0,2,10,0,0,10,155,0,0,86,1699
v0.14.2,2015-11-02,1446493557,0,0,2,10,0,0,10,155,0,0,86,1679
v0.14.3,2015-11-18,1447898932,0,0,2,10,0,0,10,155,0,0,86,1682
v0.14.4,2015-12-29,1451425903,0,0,2,10,0,0,10,155,0,0,86,1682
v0.14.5,2015-12-29,1451428626,0,0,2,10,0,0,10,155,0,0,86,1682
15.3.1,2016-09-09,1473448327,0,0,2,10,0,0,10,155,0,0,86,1682
v0.14.6,2016-01-06,1452122793,0,0,2,10,0,0,10,155,0,0,86,1682
v0.14.7,2016-01-28,1454009306,0,0,2,10,0,0,10,155,0,0,86,1682
v0.14.8,2016-03-29,1459266565,0,0,2,10,0,0,10,155,0,0,86,1682
v15.0.0,2016-04-07,1460056070,0,0,2,10,0,0,10,155,0,0,86,1682
v15.0.0-rc.1,2016-03-07,1457398930,0,0,0,0,0,0,8,120,0,0,90,1797
v15.0.0-rc.2,2016-03-16,1458163294,0,0,0,0,0,0,8,120,0,0,90,1802
v15.0.1,2016-04-08,1460139145,0,0,0,0,0,0,8,120,0,0,90,1797
v15.0.2,2016-04-29,1461976363,0,0,0,0,0,0,8,120,0,0,90,1797
v15.1.0,2016-05-20,1463784875,0,0,0,0,0,0,8,120,0,0,90,1788
v15.2.0,2016-07-01,1467397865,0,0,0,0,0,0,6,90,0,0,92,1775
v15.2.1,2016-07-08,1468016102,0,0,0,0,0,0,4,55,0,0,94,1805
v15.3.0,2016-07-29,1469816783,0,0,0,0,0,0,4,55,0,0,94,1784
v15.3.1,2016-08-19,1471632125,0,0,0,0,0,0,5,75,0,0,93,1779
v15.3.2,2016-09-19,1474306500,0,0,0,0,0,0,17,255,0,0,82,1536
v15.4.0,2016-11-16,1479305817,0,0,0,0,0,0,17,255,0,0,82,1519
v15.4.0-rc.3,2016-10-14,1476471381,0,0,0,0,0,0,24,365,0,0,76,1395
v15.4.1,2016-11-22,1479865632,0,0,0,0,0,0,24,365,0,0,76,1395
15.3.2,2017-03-16,1489715923,0,0,0,0,0,0,24,365,0,0,76,1395
16.0.0-beta.1,2017-07-26,1501098931,0,0,0,0,0,0,24,365,0,0,76,1379
16.0.0-beta.3,2017-08-03,1501801528,0,0,2,40,0,0,39,610,0,0,59,1172
16.0.0-beta.4,2017-08-08,1502208497,0,0,2,40,0,0,42,655,0,0,56,1080
16.0.0-beta.5,2017-08-08,1502213125,0,0,2,40,0,0,42,655,0,0,56,1101
16.1.0,2017-11-09,1510239357,0,0,2,40,0,0,42,655,0,0,56,1101
16.1.0-beta,2017-11-02,1509662071,0,0,2,40,0,0,42,655,0,0,56,1178
16.1.0-beta.1,2017-11-07,1510066411,0,0,2,40,0,0,44,685,0,0,54,1143
16.1.0-rc,2017-11-08,1510181978,0,0,2,40,0,0,44,685,0,0,54,1143
v15.4.2,2017-01-06,1483732374,0,0,2,40,0,0,44,685,0,0,54,1143
v15.5.0,2017-04-07,1491600087,0,0,2,40,0,0,44,685,0,0,54,1143
v15.5.1,2017-04-07,1491624501,0,0,2,40,0,0,47,725,0,0,50,1115
v15.5.2,2017-04-07,1491624502,0,0,2,40,0,0,47,725,0,0,50,1115
v15.5.3,2017-04-07,1491624519,0,0,2,40,0,0,47,725,0,0,50,1115
v15.5.4,2017-04-11,1491938619,0,0,2,40,0,0,47,725,0,0,50,1115
v15.6.0,2017-06-13,1497369941,0,0,2,40,0,0,47,725,0,0,50,1115
v15.6.1,2017-06-15,1497486244,0,0,4,80,0,0,46,715,0,0,48,1056
v15.6.2,2017-09-25,1506384400,0,0,4,80,0,0,46,715,0,0,48,1056
v16.0.0,2017-09-26,1506441033,0,0,4,80,0,0,46,715,0,0,48,1056
v16.0.0-alpha.3,2017-02-23,1487892968,0,0,4,80,0,0,41,640,0,0,53,1198
v16.0.0-alpha.4,2017-03-13,1489420481,0,0,7,95,0,0,36,560,0,0,55,1146
v16.0.0-rc.1,2017-09-06,1504737802,0,0,7,95,0,0,38,600,0,0,53,1102
v16.0.0-rc.2,2017-09-06,1504755364,0,0,8,70,0,0,36,560,0,0,54,1067
v16.1.0,2017-11-09,1510239867,0,0,8,70,0,0,36,560,0,0,54,1067
v16.1.1,2017-11-13,1510589475,0,0,8,70,0,0,33,515,0,0,57,1169
v16.2.0,2017-11-28,1511904563,0,0,8,70,0,0,32,500,0,0,58,1189
v0.0.0-88ada9819,2018-11-28,1543442205,0,0,8,70,0,0,32,500,0,0,58,1148
v16.3.0,2018-03-29,1522354032,0,0,8,70,0,0,32,505,0,0,60,1237
v16.3.0-alpha.0,2018-02-02,1517605294,0,0,6,30,0,0,36,580,0,0,58,1200
v16.3.0-alpha.1,2018-02-12,1518460901,0,0,6,30,0,0,36,580,0,0,58,1258
v16.3.0-alpha.2,2018-03-14,1521059200,0,0,7,35,0,0,36,580,0,0,57,1200
v16.3.0-alpha.3,2018-03-22,1521747910,0,0,8,40,0,0,33,530,0,0,59,1241
v16.3.0-rc.0,2018-03-27,1522203080,0,0,8,40,0,0,32,515,0,0,60,1293
v16.3.1,2018-04-04,1522801986,0,0,8,40,0,0,32,515,0,0,60,1316
v16.3.2,2018-04-16,1523892193,0,0,8,40,0,0,32,515,0,0,60,1321
v16.4.0,2018-05-23,1527122131,0,0,8,40,0,0,33,530,0,0,59,1302
v16.4.0-alpha.16.4.0-alpha.7926752,2018-02-12,1518482685,0,0,9,45,0,0,33,530,0,0,58,1272
v16.4.0-alpha.5a25959,2018-02-23,1519448778,0,0,9,45,0,0,33,530,0,0,58,1176
v16.4.0-alpha.94a255d,2018-02-26,1519697579,0,0,10,50,0,0,32,515,0,0,58,1246
v16.4.1,2018-06-13,1528906835,0,0,10,50,0,0,32,515,0,0,58,1250
v16.4.2,2018-08-01,1533147997,0,0,9,45,0,0,29,470,0,0,62,1369
v16.5.0,2018-09-06,1536251667,0,0,9,45,0,0,29,470,0,0,62,1369
v16.5.1,2018-09-13,1536862291,0,0,0,0,0,0,0,0,0,0,100,2030
v16.5.2,2018-09-18,1537295450,0,0,0,0,0,0,0,0,0,0,100,2030
v16.6.0,2018-10-23,1540337375,0,0,0,0,0,0,0,0,0,0,100,2030
v16.6.0-alpha.0,2018-09-17,1537221946,0,0,0,0,0,0,0,0,0,0,100,1992
v16.6.0-alpha.400d197,2018-10-04,1538700884,0,0,0,0,0,0,0,0,0,0,100,2030
v16.6.0-alpha.8af6728,2018-10-10,1539188340,0,0,0,0,0,0,0,0,0,0,100,2058
v16.6.1,2018-11-06,1541557730,0,0,0,0,0,0,0,0,0,0,100,1994
v16.6.3,2018-11-12,1542074346,0,0,0,0,0,0,1,10,0,0,99,2059
v16.7.0,2018-12-14,1544814203,0,0,0,0,0,0,1,10,0,0,99,2026
v16.7.0-alpha.1,2018-11-13,1542137020,0,0,0,0,0,0,1,10,0,0,99,2027
1.2.5,2019-03-29,1553874819,0,0,0,0,0,0,1,10,0,0,99,2013
status,2019-10-21,1571695735,0,0,0,0,0,0,1,10,0,0,99,2013
v16.10.0,2019-09-25,1569450387,0,0,0,0,0,0,1,10,0,0,99,2013
v16.10.1,2019-09-28,1569693057,0,0,0,0,0,0,1,10,0,0,99,2013
v16.10.2,2019-10-03,1570127072,0,0,0,0,0,0,1,10,0,0,99,2013
v16.11.0,2019-10-21,1571695735,0,0,0,0,0,0,1,10,0,0,99,2013
v16.12.0,2019-11-12,1573584067,0,0,0,0,0,0,1,10,0,0,99,2013
v16.8.0,2019-02-05,1549388061,0,0,1,5,0,0,1,10,0,0,98,1993
v16.8.0-alpha.1,2019-01-15,1547592942,0,0,9,45,0,0,3,40,0,0,88,1827
v16.8.1,2019-02-06,1549473399,0,0,9,45,0,0,3,40,0,0,88,1827
v16.8.2,2019-02-14,1550164887,0,0,9,45,0,0,3,40,0,0,88,1827
v16.8.3,2019-02-21,1550769698,0,0,9,45,0,0,7,100,0,0,84,1749
v16.8.4,2019-03-05,1551827761,0,0,9,45,0,0,8,115,0,0,83,1729
v16.8.5,2019-03-22,1553266152,0,0,9,45,0,0,8,115,0,0,83,1749
v16.8.6,2019-03-27,1553756148,0,0,9,45,0,0,8,115,0,0,83,1710
v16.9.0,2019-08-05,1565035265,0,0,9,45,0,0,8,115,0,0,83,1710
