version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v3.0.0-alpha.0,2019-12-20,1576867428,0,0,2,10,0,0,15,230,0,0,83,1681
v3.0.0,2020-09-18,1600442885,0,0,2,10,0,0,15,230,0,0,83,1681
v3.0.0-alpha.1,2020-01-02,1578007517,0,0,3,60,0,0,20,370,0,0,77,1473
v3.0.0-alpha.10,2020-03-24,1585089220,0,0,3,60,0,0,26,490,0,0,71,1423
v3.0.0-alpha.11,2020-04-03,1585964750,0,0,2,40,0,0,26,505,0,0,72,1392
v3.0.0-alpha.12,2020-04-08,1586386789,0,0,1,20,0,0,27,520,0,0,72,1331
v3.0.0-alpha.13,2020-04-15,1586969186,0,0,1,20,0,0,26,505,0,0,73,1339
v3.0.0-alpha.2,2020-01-13,1578955470,0,0,1,20,0,0,26,505,0,0,73,1327
v3.0.0-alpha.3,2020-01-22,1579709430,0,0,1,20,0,0,31,610,0,0,68,1412
v3.0.0-alpha.4,2020-01-27,1580160000,0,0,1,20,0,0,29,570,0,0,70,1464
v3.0.0-alpha.5,2020-02-18,1582056055,0,0,1,20,0,0,29,570,0,0,70,1466
v3.0.0-alpha.6,2020-02-22,1582356332,0,0,1,20,0,0,28,550,0,0,71,1393
v3.0.0-alpha.7,2020-02-26,1582745798,0,0,1,20,0,0,28,550,0,0,71,1393
v3.0.0-alpha.8,2020-03-06,1583528320,0,0,1,20,0,0,27,530,0,0,72,1400
v3.0.0-alpha.9,2020-03-16,1584399404,0,0,1,20,0,0,25,490,0,0,74,1424
v3.0.0-beta.1,2020-04-16,1587066304,0,0,2,40,0,0,23,450,0,0,75,1431
v3.0.0-beta.10,2020-05-07,1588864878,0,0,2,40,0,0,21,410,0,0,77,1391
v3.0.0-beta.11,2020-05-11,1589221536,0,0,1,20,0,0,21,410,0,0,78,1408
v3.0.0-beta.12,2020-05-11,1589226757,0,0,1,20,0,0,21,410,0,0,78,1414
v3.0.0-beta.13,2020-05-16,1589680427,0,0,1,20,0,0,21,410,0,0,78,1414
v3.0.0-beta.14,2020-05-18,1589827331,0,0,1,20,0,0,21,410,0,0,78,1424
v3.0.0-beta.15,2020-06-12,1591999745,0,0,1,20,0,0,21,410,0,0,78,1442
v3.0.0-beta.16,2020-06-29,1593470090,0,0,1,20,0,0,21,410,0,0,78,1443
v3.0.0-beta.17,2020-06-30,1593533323,0,0,1,20,0,0,21,410,0,0,78,1438
v3.0.0-beta.18,2020-07-01,1593651985,0,0,1,20,0,0,21,410,0,0,78,1433
v3.0.0-beta.19,2020-07-07,1594130671,0,0,1,20,0,0,21,410,0,0,78,1427
v3.0.0-beta.2,2020-04-17,1587135661,0,0,1,20,0,0,21,410,0,0,78,1427
v3.0.0-beta.20,2020-07-08,1594226730,0,0,1,20,0,0,21,410,0,0,78,1377
v3.0.0-beta.21,2020-07-14,1594761487,0,0,1,20,0,0,21,410,0,0,78,1429
v3.0.0-beta.22,2020-07-15,1594831421,0,0,1,20,0,0,21,410,0,0,78,1428
